"ID","Nombre completo","Fecha de nacimiento","Dirección","Localidad y Código postal","Teléfono","Correo electrónico","Fecha de alta","Grupo de clientes"
"C0028","Evangelina Font Lago","3/26/1978","176 Henry Smith Ave.","Westland, MI 48185","(483) 388-3044","themer@icloud.com","11/20/2013 20:03","C"
"C0029","Otilia Mercader Jimenez","6/21/1986","323 1st St.","Salt Lake City, UT 84119","(525) 814-4351","leocharre@me.com","11/13/2016 14:53","C"
"C0030","Nadia Reyes-Bosch","3/14/1997","8127 Pawnee Lane","Pikesville, MD 21208","(872) 458-4785","kewley@icloud.com","5/28/2013 12:57","B"
"C0031","Mireia Córdoba Pi","10/21/1993","7813 Helen Ave.","West Springfield, MA 01089","(600) 318-8808","murdocj@mac.com","1/11/2006 0:48","A"
"C0032","Melisa Rueda Rosado","9/28/1970","353 Canterbury Dr.","Mahwah, NJ 07430","(437) 406-2974","webinc@msn.com","3/30/2017 18:22","B"
"C0033","Trini Sanabria-Frías","5/22/1989","61 Addison Dr.","Park Forest, IL 60466","(615) 712-3381","mrsam@yahoo.ca","1/19/2017 19:23","D"
"C0034","Lucía Manola Briones Jove","11/28/1993","810 West Mill St.","Westfield, MA 01085","(651) 742-1141","sassen@aol.com","2/7/2015 19:05","B"
"C0035","Natalio Pereira Barrio","9/19/1970","51 Mayfair Court","Dothan, AL 36301","(517) 690-8580","emmanuel@att.net","1/11/2007 15:36","D"
"C0036","Nerea Alcalde Solé","2/3/1984","840 Oak Meadow Ave.","Klamath Falls, OR 97603","(616) 766-2111","naoya@mac.com","8/17/2006 9:46","B"
"C0037","Gracia Goicoechea Alba","12/10/1980","257 Pheasant Drive","Hialeah, FL 33010","(685) 726-6159","slanglois@hotmail.com","3/23/2021 13:49","E"
"C0038","Toño Hidalgo Blázquez","11/24/1988","30 N. Park Avenue","Howard Beach, NY 11414","(737) 772-3449","improv@comcast.net","9/7/2009 5:50","B"
"C0039","Cándida Sedano Jiménez","4/16/1981","850 School St.","Wheaton, IL 60187","(876) 612-6879","noneme@me.com","5/14/2011 8:38","E"
"C0040","Eutimio Barreda Cobos","5/9/1999","59 Atlantic Ave.","Gallatin, TN 37066","(669) 791-3350","majordick@yahoo.com","1/5/2009 0:19","C"
"C0041","Rosario Yuste Falcón","6/24/1986","74 Broadway","MILTON KEYNES","(642) 368-4225","rgiersig@verizon.net","12/22/2010 7:16","D"
"C0042","Encarnacion Español Ocaña","3/25/1985","MK9 3EN","21 Mill Road","(953) 901-9132","smartfart@aol.com","11/6/2020 6:49","C"
"C0043","Magdalena Vilaplana Esteve","9/26/1991","CREWE","CW90 4ZA","(869) 720-8135","jmgomez@verizon.net","7/14/2014 1:35","D"
"C0044","Adelardo Novoa","6/12/1985","674 High Street","CANTERBURY","(319) 633-9396","msherr@yahoo.com","1/20/2013 4:11","C"
"C0045","Adoración Rovira Zabala","10/25/1977","CT76 6OB","10 Richmond Road","(731) 945-6687","keutzer@sbcglobal.net","3/30/2006 9:15","D"
"C0046","Ovidio Lamas","3/9/2000","DUNDEE","DD84 2WJ","(435) 742-6743","policies@sbcglobal.net","9/9/2017 19:16","C"
"C0047","Reyes Julián Nogués","4/7/1978","35 The Crescent","SOUTH EAST LONDON","(684) 330-1830","hwestiii@verizon.net","8/4/2006 8:44","C"
"C0048","Adoración Jurado Clemente","12/8/1976","SE42 3UM","44 School Lane","(843) 248-6284","hstiles@mac.com","10/4/2007 17:41","E"
"C0049","Plácido Zabala Feijoo","1/19/1979","DONCASTER","DN36 9AT","(390) 565-9213","xnormal@gmail.com","11/27/2011 20:10","A"
"C0050","Abel Alex Cueto López","9/7/1974","94 The Avenue","BRIGHTON","(951) 953-8812","jgmyers@icloud.com","6/18/2009 6:22","A"
"C0051","Miguela Sanmiguel Paz","4/12/1976","BN0 6LJ","290 Albert Road","(516) 909-2316","oechslin@aol.com","5/9/2010 12:32","E"
"C0052","Narcisa Villaverde Montes","11/17/1998","STOCKPORT","SK35 8CV","(833) 629-5357","juerd@outlook.com","6/28/2020 10:41","C"
"C0053","Leonardo Aller Bermúdez","9/16/1971","96 The Green","WATFORD","(260) 680-9015","skippy@icloud.com","5/31/2016 1:46","A"
"C0054","Javiera Bartolomé Torrens","6/15/1992","WD65 4RB","9950 Queen Street","(724) 882-6713","meinkej@hotmail.com","8/30/2017 18:00","B"
"C0055","María Carmen de Fuster","8/28/1973","WAKEFIELD","WF81 5TB","(663) 750-6940","staffelb@aol.com","10/22/2020 18:37","E"
"C0056","Adán Fonseca Marin","9/16/1970","30 Main Road","NORTH WEST LONDON","(325) 631-2099","heckerman@optonline.net","3/21/2009 13:30","E"
"C0057","Adalberto de Fabra","12/23/1989","NW96 2RV","9896 New Road","(594) 787-2465","rjones@verizon.net","1/12/2014 4:41","A"
"C0058","Rosalinda Jaume Romero","7/25/1985","SHREWSBURY","SY49 2YJ","(720) 491-3517","parrt@verizon.net","10/12/2014 22:45","B"
"C0059","Abigaíl Enríquez Carreras","4/18/1987","26 North Road","EAST CENTRAL LONDON","(735) 587-8913","hampton@icloud.com","12/27/2018 8:58","D"
"C0060","África Morcillo","2/21/1999","EC18 9MF","146 Church Lane","(295) 530-5752","claypool@comcast.net","3/21/2008 6:43","E"
"C0061","Gilberto Cárdenas-Esparza","3/16/1976","LLANDRINDOD WELLS","LD87 1KV","(306) 906-7975","wsnyder@live.com","3/11/2018 3:26","E"
"C0062","Marisela Posada Jover","5/21/1991","70 Green Lane","KILMARNOCK","(452) 597-0784","magusnet@aol.com","4/30/2014 2:14","D"
"C0063","Begoña Claudia Coello Zabaleta","5/11/1971","KA97 3AD","9645 Queensway","(363) 441-6561","danneng@optonline.net","10/11/2010 21:20","D"
"C0064","Marcos Arregui Sainz","4/10/1977","ROCHESTER","ME97 9GF","(550) 890-6346","smallpaul@aol.com","10/3/2006 7:42","B"
"C0065","Venceslás Sastre Peñalver","9/3/1978","5 Kingsway","WARRINGTON","(906) 421-7305","staikos@optonline.net","4/26/2015 12:02","C"
"C0066","Febe Amaya","7/12/1980","WA48 9PQ","512 Stanley Road","(977) 707-4772","bryam@outlook.com","2/21/2009 3:36","C"
"C0067","Quirino Granados Verdugo","12/19/1992","BIRMINGHAM","B2 0LA","(871) 218-8630","ccohen@optonline.net","7/15/2017 14:24","D"
"C0068","Imelda de Perea","11/9/1977","3 Church Street","CARLISLE","(522) 326-9656","geoffr@aol.com","10/28/2006 0:45","A"
"C0069","Isidora de Crespi","2/9/1980","CA46 0YA","12 George Street","(924) 599-2856","kludge@comcast.net","2/12/2006 20:24","D"
"C0070","Balduino Martin Águila","10/22/1992","REDHILL","RH45 1LV","(998) 710-2563","frikazoyd@att.net","5/18/2014 14:12","B"
"C0071","Casandra Ramírez Canet","9/18/1976","2 Manchester Road","SWANSEA","(319) 810-1693","singer@comcast.net","12/26/2007 5:49","A"
"C0072","Eustaquio Vigil Gil","3/28/1973","SA65 3HD","84 North Street","(794) 504-1808","rogerspl@aol.com","7/2/2005 5:02","B"
"C0073","Elvira del Espinosa","4/12/2000","DUDLEY","DY65 3GJ","(493) 999-4390","danzigism@yahoo.ca","9/23/2012 17:37","C"
"C0074","Pía Huertas Manzanares","2/17/1972","9112 St. John’s Road","WALSALL","(804) 655-0207","empathy@att.net","9/21/2015 8:35","C"
"C0075","Alberto Salas Báez","8/19/1991","WS53 7IY","19 Church Road","(554) 800-9842","jrifkin@mac.com","8/18/2015 14:55","C"
"C0076","Sol Rosales Calvo","8/7/1982","SOUTH WEST LONDON","SW65 0GH","(548) 446-1387","sagal@icloud.com","4/23/2008 20:25","B"
"C0077","Guiomar Folch Sanjuan","12/8/1984","76 South Street","NORWICH","(517) 369-6486","durist@sbcglobal.net","5/3/2019 1:05","C"
"C0078","Nidia Pardo-Nuñez","7/5/1989","NR38 3VK","73 Grove Road","(893) 798-8990","msloan@msn.com","1/6/2011 4:45","E"
"C0079","Emperatriz Sabina Pastor Pedrero","2/3/1974","SHEFFIELD","S39 0KU","(504) 719-6268","ilikered@mac.com","12/20/2020 10:46","B"
"C0080","Ximena Jurado-Mata","4/9/1994","92 Park Avenue","WOLVERHAMPTON","(295) 508-7243","tlinden@live.com","1/4/2009 12:13","A"
"C0081","Eugenio Aranda Falcón","4/5/1998","WV82 8AJ","53 King Street","(940) 762-9096","citizenl@yahoo.ca","1/4/2014 0:11","B"
"C0082","Felicia del Palomo","8/14/1985","COVENTRY","CV96 4TX","(370) 597-5412","pajas@yahoo.com","5/9/2013 8:24","A"
"C0083","Abel Uribe Cerro","6/16/1990","58 Highfield Road","BLACKBURN","(996) 458-0103","british@me.com","3/14/2010 1:32","C"
"C0084","Andrés Felipe Prado-Infante","3/22/1993","BB91 5XM","20 West Street","(223) 934-8344","chaffar@aol.com","1/25/2012 11:12","A"
"C0085","Jordi de Perea","1/2/1997","OUTER HEBRIDES","HS33 0PY","(611) 728-9360","parkes@hotmail.com","7/22/2017 3:38","D"
"C0086","Ricarda Escrivá Cervera","2/27/1971","82 Windsor Road","PERTH","(446) 436-2416","sjava@yahoo.ca","7/31/2014 21:41","A"
"C0087","Socorro Morales Guerrero","6/25/1986","PH82 4OY","75 Grange Road","(205) 877-2303","jipsen@outlook.com","9/17/2016 2:59","A"
"C0088","Asunción Ágata Gutierrez Morera","4/29/1974","WESTERN CENTRAL LONDON","WC52 6DL","(442) 997-2681","lahvak@optonline.net","5/10/2010 14:26","C"
"C0089","Jesús Frías Ibáñez","7/6/1990","10 Kings Road","WORCESTER","(200) 695-5178","mlewan@yahoo.com","9/11/2016 3:59","E"
"C0090","Teodosio Niño","7/30/1982","WR45 4AU","80 The Grove","(892) 339-6497","zwood@verizon.net","11/8/2010 21:45","A"
"C0091","Susana Vizcaíno Nuñez","1/16/1995","MANCHESTER","M78 7CQ","(719) 593-5606","kassiesa@hotmail.com","12/5/2015 20:48","B"
"C0092","Abilio Cuéllar Rovira","7/17/1993","472 Mill Lane","READING","(719) 881-4363","rnewman@hotmail.com","3/6/2005 18:05","D"
"C0093","Adora Alberto Rebollo","9/10/1970","RG6 1SR","55 Queens Road","(346) 442-6581","jaxweb@gmail.com","11/18/2006 21:50","A"
"C0094","Primitivo Jaén Garcés","2/13/1995","TORQUAY","TQ16 9DL","(690) 340-6090","eidac@aol.com","1/24/2016 2:25","E"
"C0095","Delfina Donoso","4/11/1996","80 Chester Road","HARROW","(722) 742-7576","lishoy@gmail.com","6/24/2005 9:14","D"
"C0096","Julio Fuster Vigil","3/16/1995","HA62 8DU","320 Victoria Road","(449) 524-6231","delpino@aol.com","8/23/2009 8:14","C"
"C0097","Cintia Carballo-Bayona","9/3/1987","PAISLEY","PA13 7KA","(703) 723-3874","catalog@att.net","1/1/2016 11:26","B"
"C0098","Fortunata Pascual Ribas","1/6/1988","304 Springfield Road","BRADFORD","(435) 239-5138","hoyer@hotmail.com","3/3/2021 2:21","A"
"C0099","Lilia Figuerola Bauzà","8/26/1977","BD84 2HP","51 Main Street","(580) 240-1515","esokullu@live.com","1/2/2009 11:23","D"
"C0100","Pili Morell-Oliver","8/6/1973","CHESTER","CH66 8CW","(650) 385-0635","heidrich@hotmail.com","9/8/2007 3:45","A"
"C0101","Estrella Peñas Benito","8/26/1982","28 London Road","HULL","(243) 906-5992","kohlis@live.com","6/23/2015 15:51","E"
"C0102","María Ángeles Roura Carnero","7/5/1987","HU74 4ER","44 Park Road","(209) 297-3958","corrada@att.net","8/19/2011 20:54","B"
"C0103","Violeta Violeta Lamas Sarabia","1/11/1990","GUILDFORD","GU45 5EZ","(966) 338-9815","chaffar@sbcglobal.net","9/18/2013 18:07","D"
"C0104","Ruben Marquez Belda","9/22/1981","597 New Street","DURHAM","(638) 925-5729","josem@hotmail.com","2/8/2012 2:10","C"
"C0105","Manola Criado","7/8/1985","DH29 2KQ","69 The Drive","(681) 914-0083","jsmith@mac.com","7/17/2013 11:05","A"
"C0106","Rita Asensio Salgado","2/2/1990","DUMFRIES","DG73 0TH","(354) 628-2294","hmbrand@hotmail.com","2/27/2015 4:17","E"
"C0107","Daniela Cabello Vallés","10/26/1982","41 Victoria Street","LEICESTER","(888) 289-8104","corrada@gmail.com","10/18/2013 4:45","D"
"C0108","Nicolasa Aurelia Lasa Puig","3/31/1979","LE96 5AZ","45 Station Road","(393) 626-4948","bryam@icloud.com","3/23/2011 13:05","E"
"C0109","Jonatan Trillo Larrañaga","5/5/1991","CHELMSFORD","CM60 7BF","(887) 262-0302","gmcgath@hotmail.com","7/5/2019 19:52","D"
"C0110","Jose Francisco Alvarado Pombo","6/17/1999","48 Manor Road","LIVERPOOL","(462) 566-8729","fukuchi@yahoo.com","2/28/2020 15:34","E"
"C0111","Samanta Casandra Borrell Maestre","1/23/1970","L52 8LM","217 Park Lane","(661) 929-3370","jshearer@mac.com","12/7/2018 9:47","D"
"C0112","Emilia María Luisa Lluch Vives","6/22/1980","SUNDERLAND","SR69 9RW","(859) 862-4703","phish@live.com","7/12/2014 2:58","B"
"C0113","Esteban Guillén Mena","7/23/1974","33 York Road","HUDDERSFIELD","(415) 981-0636","manuals@aol.com","6/22/2011 18:01","A"
"C0114","Josué Rocha Juan","1/31/1993","HD3 3KR","44 Alexander Road","(563) 420-8118","meder@outlook.com","4/21/2008 20:01","E"
"C0115","Encarnación Alemán-Prats","1/31/1995","YORK","YO59 8CP","(462) 763-2017","gomor@icloud.com","8/17/2013 2:30","C"
"C0116","Celia Verdú","8/9/1990","24 Rock Maple Lane","Santa Ana, CA 92707","(701) 212-8508","hauma@gmail.com","6/20/2009 7:43","D"
"C0117","Espiridión del Viñas","8/19/1983","376 South Griffin Street","Lancaster, CA 93535","(714) 278-0966","godeke@yahoo.ca","4/11/2020 9:58","E"
"C0118","Melania Lobato-Mena","4/1/1983","7172 Halifax St.","Huntington Beach, CA 92647","(523) 677-7026","jdhedden@mac.com","11/20/2020 16:36","D"
"C0119","Sosimo Roig Bayo","4/26/1988","9530 Homewood St.","Palmdale, CA 93550","(615) 522-3616","tbeck@gmail.com","4/10/2011 21:26","A"
"C0120","Abel Carrasco-Belda","8/3/1978","3 Sunset Street","Watsonville, CA 95076","(497) 402-3196","bryanw@outlook.com","3/1/2012 5:06","B"
"C0121","Alicia Celestina Ibáñez Santana","11/26/1989","611 Linda Rd.","El Cajon, CA 92021","(624) 360-5381","draper@me.com","8/16/2020 6:41","A"
"C0122","Conrado Torre","8/10/1993","7088 South Woodland St.","South San Francisco, CA 94080","(417) 559-0451","anicolao@optonline.net","1/8/2012 23:04","D"
"C0123","Leoncio Pombo Nadal","5/29/1971","78 Hamilton St.","Los Angeles, CA 90022","(650) 230-0049","mxiao@comcast.net","11/29/2005 7:03","C"
"C0124","Marcia Tomas","11/14/1995","7576 S. Prince Ave.","Compton, CA 90221","(863) 238-8964","mleary@yahoo.ca","3/30/2008 11:56","E"
"C0125","Aurelia del Ocaña","9/22/1972","8678 Glen Eagles Rd.","Los Angeles, CA 90042","(340) 944-7011","louise@comcast.net","12/14/2015 12:17","B"
"C0126","Porfirio Cases Fabregat","12/12/1978","7487 College Rd.","Carmichael, CA 95608","(388) 447-0349","solomon@gmail.com","10/10/2011 2:32","A"
"C0127","Maristela Mármol","10/15/1999","8 Westminster Ave.","Anaheim, CA 92805","(562) 364-8454","dgatwood@live.com","11/18/2011 12:20","C"
"C0128","Leticia Azorin Cortina","9/22/1999","92 Brickell Drive","Fountain Valley, CA 92708","(332) 349-8146","augusto@outlook.com","6/26/2007 5:48","D"
"C0129","Régulo de Sacristán","8/20/1975","503 Delaware Street","San Jose, CA 95123","(286) 718-4373","rafasgj@msn.com","11/11/2020 14:33","C"
"C0130","Esteban del Múñiz","9/3/1973","34 Anderson Ave.","Los Angeles, CA 90037","(397) 693-0198","solomon@yahoo.ca","1/24/2009 8:55","E"
"C0131","Trinidad Exposito Abella","3/18/1997","8388 Water St.","Bakersfield, CA 93309","(874) 698-3563","kildjean@aol.com","12/18/2013 8:07","C"
"C0132","Pánfilo Ortiz Pardo","3/17/1974","373 Brickyard Avenue","Tustin, CA 92780","(633) 872-7554","andersbr@att.net","6/5/2018 20:23","E"
"C0133","Glauco Llorens Álvarez","1/5/1987","834 Yukon Lane","Cupertino, CA 95014","(799) 691-3758","moonlapse@sbcglobal.net","8/30/2010 6:43","A"
"C0134","Susanita Zaragoza Higueras","3/1/1970","8324 South St.","Fremont, CA 94538","(625) 240-8609","schwaang@mac.com","9/22/2007 16:32","D"
"C0135","Ileana Asunción Beltran Samper","12/28/1997","8 White Ave.","Bakersfield, CA 93307","(677) 815-4415","geekoid@yahoo.ca","11/13/2009 5:11","D"
"C0136","Chus Merino Casas","12/11/1971","907 Inverness Dr.","North Hills, CA 91343","(368) 227-4620","plover@aol.com","6/11/2011 2:29","E"
"C0137","Carmina Cervera","4/18/1979","12 Cypress Avenue","San Pablo, CA 94806","(930) 420-2085","jhardin@hotmail.com","8/5/2007 4:56","D"
"C0138","Curro Coello Izaguirre","12/25/1972","7313 Bohemia Street","San Diego, CA 92117","(883) 797-3367","jdray@hotmail.com","10/11/2012 6:40","A"
"C0139","Mario Roldán","5/1/1977","8518 Hilldale Lane","Pomona, CA 91766","(616) 916-4936","euice@outlook.com","4/29/2019 10:45","A"
"C0140","Jesusa Fuentes","1/6/1999","190 Sierra St.","Paramount, CA 90723","(406) 344-3322","camenisch@yahoo.ca","7/4/2008 1:49","C"
"C0141","Óscar Dominguez Mayol","12/20/1973","95 Studebaker Street","Ontario, CA 91761","(323) 771-5959","lamky@hotmail.com","5/19/2019 0:20","A"
"C0142","Angelino Contreras Pi","9/28/1986","1 Highland Ave.","San Jose, CA 95122","(898) 732-6602","alastair@att.net","12/3/2015 20:18","E"
"C0143","Rafa Camino Perelló","10/28/1994","5 West Henry Smith Street","San Francisco, CA 94110","(551) 404-1539","british@comcast.net","7/6/2014 17:00","E"
"C0144","Aura Vidal-Roma","11/3/1987","940 E. Primrose Ave.","Laguna Niguel, CA 92677","(488) 349-4237","rddesign@icloud.com","9/19/2013 6:38","A"
"C0145","Lara Jordana Ballester Lladó","8/13/1974","8304 Van Dyke Avenue","Santa Ana, CA 92703","(296) 444-2189","heckerman@me.com","2/18/2005 8:08","B"
"C0146","Aníbal Castelló Sarabia","3/4/1992","86 Bradford Rd.","San Francisco, CA 94112","(988) 961-4637","rasca@verizon.net","6/18/2006 18:16","B"
"C0147","Adriana Higueras Ribes","5/7/1980","3 Jefferson Dr.","Van Nuys, CA 91406","(486) 549-5020","willg@sbcglobal.net","5/30/2020 17:54","E"
"C0148","Ernesto Cuadrado Mesa","3/14/1987","79 Rocky River Ave.","Reseda, CA 91335","(868) 892-8961","bryam@verizon.net","4/28/2012 4:47","E"
"C0149","Estela Ponce-Losada","1/24/1997","38 Johnson St.","Fremont, CA 94536","(473) 875-0023","padme@hotmail.com","12/20/2019 11:51","B"
"C0150","Luis Miguel del Tapia","9/5/1971","7652 West Wakehurst Drive","Garden Grove, CA 92840","(700) 958-6128","damian@hotmail.com","2/26/2013 15:26","B"
"C0151","Elpidio Agullo Tejero","8/2/1988","7075 Lake Forest Rd.","Bellflower, CA 90706","(696) 679-7702","tangsh@me.com","12/28/2020 3:37","A"
"C0152","María Carmen Ródenas Acosta","9/26/1970","619 Pleasant St.","Lynwood, CA 90262","(250) 248-4300","yamla@outlook.com","8/4/2011 5:20","C"
"C0153","Lucas Vendrell Valverde","12/11/1987","8026 New Saddle St.","San Diego, CA 92105","(834) 508-9490","rbarreira@optonline.net","2/8/2010 4:04","E"
"C0154","Gerardo Tomé Real","6/5/1997","275 Rock Maple Avenue","Huntington Beach, CA 92646","(503) 283-5457","jrifkin@verizon.net","3/7/2005 4:49","B"
"C0155","Elías Sacristán Vázquez","1/31/1998","404 Railroad St.","Oxnard, CA 93030","(461) 976-3596","dmouse@sbcglobal.net","3/10/2013 18:52","B"
"C0156","Victoriano Valencia Coloma","6/5/1998","441 Court Dr.","Sunnyvale, CA 94087","(398) 272-4739","tubajon@comcast.net","2/7/2006 17:57","E"
"C0157","Vera Ribes-Cases","10/11/1996","9 South Theatre Ave.","Sacramento, CA 95828","(279) 586-2100","tjensen@att.net","9/8/2011 19:13","B"
"C0158","Ligia Moya Calleja","9/29/1980","674 Van Dyke Drive","Pittsburg, CA 94565","(988) 433-7129","tristan@live.com","5/20/2011 8:25","B"
"C0159","Evangelina Barragán Castell","1/29/1996","234 W. Riverside St.","South Gate, CA 90280","(357) 352-8928","crandall@sbcglobal.net","12/14/2008 19:33","E"
"C0160","Florencia Domitila Castell Mendizábal","12/5/1995","916 E. Cactus Ave.","Indio, CA 92201","(240) 852-8613","bester@outlook.com","4/10/2017 4:38","D"
"C0161","Javier Arellano-Murcia","4/2/1999","218 Lake St.","Vallejo, CA 94591","(403) 855-3645","world@yahoo.ca","1/3/2019 8:18","C"
"C0162","Aurelia Sans Oller","11/13/1991","861 Oakland St.","Chula Vista, CA 91911","(593) 356-1838","staikos@sbcglobal.net","12/24/2018 10:47","D"
"C0163","Teodora Jerez Tormo","9/22/1994","8356 Bank Ave.","Chula Vista, CA 91910","(433) 213-5953","kludge@comcast.net","8/2/2015 2:02","A"
"C0164","Cornelio Noguera Lluch","5/1/1992","9754 Brookside Street","Sacramento, CA 95823","(669) 290-1610","paulv@sbcglobal.net","3/30/2017 9:17","E"
"C0165","Carla Serna Montalbán","5/5/1999","8718 Chapel Drive","Rosemead, CA 91770","(472) 605-7532","jgmyers@sbcglobal.net","6/7/2018 20:23","D"
"C0166","Macarena Valeria Feliu Mayol","7/3/1986","9029 Bellevue Drive","San Bernardino, CA 92404","(287) 839-5879","josephw@hotmail.com","1/22/2014 0:28","B"
"C0167","Jacinta Paz Domingo Rivas","1/28/1999","277 Halifax Dr.","Colton, CA 92324","(622) 903-6022","sopwith@att.net","7/14/2007 13:22","C"
"C0168","Victor Manuel Tejedor Nevado","11/6/1986","7889 Chapel Street","Ontario, CA 91762","(797) 421-8320","sharon@att.net","3/28/2010 9:13","E"
"C0169","Blanca Molina Francisco","6/2/1977","487 East 6th St.","Canyon Country, CA 91351","(478) 658-1534","ntegrity@msn.com","8/9/2007 8:45","E"
"C0170","Jonatan Fonseca Quevedo","12/22/1981","51 Coffee St.","Oxnard, CA 93033","(671) 615-3675","dgriffith@aol.com","5/19/2012 9:01","D"
"C0171","Humberto Vila","3/3/1995","9586 Sycamore Dr.","Livermore, CA 94550","(713) 795-1422","qrczak@verizon.net","8/18/2010 16:10","C"
"C0172","Isaura Fuentes Guardiola","4/16/1988","801 SW. Prairie St.","Cerritos, CA 90703","(201) 705-6808","bruck@live.com","8/20/2012 6:45","B"
"C0173","Rufina Vargas Andres","9/4/1979","830 High Point Court","Hayward, CA 94544","(322) 327-1204","camenisch@yahoo.ca","12/27/2008 8:12","A"
"C0174","Reinaldo Barral Lago","6/3/1984","791 Silver Spear Street","National City, CA 91950","(644) 469-5761","mjewell@comcast.net","11/14/2019 23:57","E"
"C0175","Jose Ignacio Vila-Rios","4/6/1991","8882 Old Smith Ave.","Oceanside, CA 92056","(674) 440-0703","daveed@optonline.net","4/23/2020 19:44","E"
"C0176","Roberto Cánovas Segura","2/18/1998","970 Myers Street","Oceanside, CA 92054","(640) 568-2625","quantaman@hotmail.com","10/16/2011 23:04","D"
